x_centroid,y_centroid,x_start,y_start,x_end,y_end,depth,length,area,v_axial,v_Mx,v_My,v_total,Fz,Mxi,Myi
-12.25,-24.5,-12.5,-24.5,-12.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.003438282534690604,-0.16913037694918331,-0.761086696271325,18.64662405864746,-9.32331202932373
-11.75,-24.5,-12.0,-24.5,-11.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.003297944472050171,-0.16927071501182375,-0.7617182175532069,18.66209633005357,-8.950189056250181
-11.25,-24.5,-11.5,-24.5,-11.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.003157606409409738,-0.1694110530744642,-0.7623497388350888,18.677568601459676,-8.57643456189475
-10.75,-24.5,-11.0,-24.5,-10.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0030172683467693056,-0.16955139113710463,-0.7629812601169709,18.693040872865787,-8.202048546257437
-10.25,-24.5,-10.5,-24.5,-10.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0028769302841288725,-0.16969172919974507,-0.7636127813988528,18.708513144271894,-7.827031009338241
-9.75,-24.5,-10.0,-24.5,-9.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.00273659222148844,-0.16983206726238548,-0.7642443026807346,18.723985415677998,-7.451381951137162
-9.25,-24.5,-9.5,-24.5,-9.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.002596254158848007,-0.16997240532502592,-0.7648758239626167,18.73945768708411,-7.075101371654204
-8.75,-24.5,-9.0,-24.5,-8.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0024559160962075743,-0.17011274338766635,-0.7655073452444986,18.754929958490216,-6.698189270889363
-8.25,-24.5,-8.5,-24.5,-8.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0023155780335671412,-0.1702530814503068,-0.7661388665263805,18.770402229896323,-6.320645648842639
-7.75,-24.5,-8.0,-24.5,-7.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0021752399709267086,-0.17039341951294723,-0.7667703878082626,18.785874501302434,-5.942470505514035
-7.25,-24.5,-7.5,-24.5,-7.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0020349019082862756,-0.17053375757558764,-0.7674019090901444,18.801346772708538,-5.563663840903547
-6.75,-24.5,-7.0,-24.5,-6.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.001894563845645843,-0.17067409563822808,-0.7680334303720263,18.816819044114645,-5.184225655011177
-6.25,-24.5,-6.5,-24.5,-6.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0017542257830054102,-0.17081443370086852,-0.7686649516539084,18.832291315520756,-4.804155947836927
-5.75,-24.5,-6.0,-24.5,-5.499999999999999,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0016138877203649774,-0.17095477176350896,-0.7692964729357903,18.847763586926863,-4.4234547193807945
-5.25,-24.5,-5.499999999999999,-24.5,-5.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0014735496577245445,-0.1710951098261494,-0.7699279942176722,18.86323585833297,-4.042121969642779
-4.75,-24.5,-5.0,-24.5,-4.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0013332115950841117,-0.1712354478887898,-0.7705595154995541,18.878708129739078,-3.660157698622882
-4.25,-24.5,-4.5,-24.5,-4.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0011928735324436789,-0.17137578595143024,-0.7711910367814361,18.894180401145185,-3.2775619063211034
-3.75,-24.5,-4.0,-24.5,-3.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0010525354698032463,-0.17151612401407068,-0.771822558063318,18.909652672551292,-2.894334592737443
-3.25,-24.5,-3.5,-24.5,-3.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0009121974071628135,-0.17165646207671112,-0.7724540793452,18.9251249439574,-2.5104757578719004
-2.75,-24.5,-3.0,-24.5,-2.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0007718593445223805,-0.17179680013935156,-0.773085600627082,18.940597215363507,-2.125985401724476
-2.25,-24.5,-2.5,-24.5,-2.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0006315212818819477,-0.17193713820199197,-0.7737171219089638,18.956069486769614,-1.7408635242951689
-1.75,-24.5,-2.0,-24.5,-1.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.0004911832192415149,-0.1720774762646324,-0.7743486431908458,18.97154175817572,-1.3551101255839806
-1.25,-24.5,-1.5,-24.5,-1.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.00035084515660108216,-0.17221781432727284,-0.7749801644727278,18.98701402958183,-0.96872520559091
-0.75,-24.5,-1.0,-24.5,-0.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,0.00021050709396064934,-0.17235815238991328,-0.7756116857546098,19.00248630098794,-0.5817087643159577
-0.25,-24.5,-0.5,-24.5,0.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,7.016903132021652e-05,-0.17249849045255372,-0.7762432070364917,19.017958572394047,-0.19406080175912327
0.25,-24.5,0.0,-24.5,0.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-7.016903132021629e-05,-0.17263882851519413,-0.7768747283183736,19.03343084380015,0.19421868207959306
0.75,-24.5,0.5,-24.5,1.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0002105070939606491,-0.17277916657783457,-0.7775062496002556,19.04890311520626,0.5831296872001913
1.2500000000000009,-24.5,1.0,-24.5,1.5000000000000018,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.00035084515660108216,-0.172919504640475,-0.7781377708821375,19.06437538661237,0.9726722136026723
1.75,-24.5,1.5000000000000018,-24.5,1.9999999999999982,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0004911832192415148,-0.17305984270311545,-0.7787692921640195,19.079847658018476,1.3628462612870338
2.249999999999999,-24.5,1.9999999999999982,-24.5,2.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0006315212818819473,-0.17320018076575588,-0.7794008134459015,19.095319929424587,1.7536518302532773
2.75,-24.5,2.5,-24.5,3.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0007718593445223803,-0.1733405188283963,-0.7800323347277833,19.11079220083069,2.145088920501404
3.25,-24.5,3.0,-24.5,3.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.000912197407162813,-0.17348085689103673,-0.7806638560096653,19.126264472236798,2.537157532031412
3.75,-24.5,3.5,-24.5,4.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0010525354698032458,-0.17362119495367717,-0.7812953772915473,19.14173674364291,2.929857664843302
4.25,-24.5,4.0,-24.5,4.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0011928735324436789,-0.1737615330163176,-0.7819268985734292,19.157209015049016,3.3231893189370743
4.75,-24.5,4.5,-24.5,5.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0013332115950841117,-0.17390187107895805,-0.7825584198553113,19.172681286455127,3.7171524943127285
5.25,-24.5,5.0,-24.5,5.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0014735496577245445,-0.17404220914159846,-0.7831899411371931,19.18815355786123,4.111747190970264
5.75,-24.5,5.5,-24.5,6.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0016138877203649774,-0.1741825472042389,-0.783821462419075,19.203625829267338,4.506973408909682
6.25,-24.5,6.0,-24.5,6.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0017542257830054102,-0.17432288526687933,-0.7844529837009571,19.21909810067345,4.902831148130982
6.75,-24.5,6.5,-24.5,7.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.001894563845645843,-0.17446322332951977,-0.785084504982839,19.234570372079556,5.299320408634163
7.25,-24.5,7.0,-24.5,7.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0020349019082862756,-0.1746035613921602,-0.7857160262647209,19.250042643485664,5.696441190419227
7.75,-24.5,7.5,-24.5,8.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0021752399709267086,-0.17474389945480062,-0.7863475475466029,19.26551491489177,6.094193493486172
8.25,-24.5,8.0,-24.5,8.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0023155780335671412,-0.17488423751744106,-0.7869790688284848,19.280987186297878,6.492577317835
8.75,-24.5,8.5,-24.5,9.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0024559160962075743,-0.1750245755800815,-0.7876105901103667,19.296459457703985,6.891592663465708
9.25,-24.5,9.0,-24.5,9.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.002596254158848007,-0.17516491364272194,-0.7882421113922488,19.311931729110096,7.291239530378301
9.75,-24.5,9.5,-24.5,10.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.00273659222148844,-0.17530525170536237,-0.7888736326741307,19.327404000516204,7.6915179185727744
10.25,-24.5,10.0,-24.5,10.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0028769302841288725,-0.17544558976800279,-0.7895051539560125,19.342876271922307,8.092427828049129
10.75,-24.5,10.5,-24.5,11.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.0030172683467693056,-0.17558592783064322,-0.7901366752378945,19.358348543328418,8.493969258807367
11.25,-24.5,11.0,-24.5,11.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.003157606409409738,-0.17572626589328366,-0.7907681965197765,19.373820814734525,8.896142210847485
11.75,-24.5,11.5,-24.5,12.0,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.003297944472050171,-0.1758666039559241,-0.7913997178016584,19.389293086140633,9.298946684169486
12.25,-24.5,12.0,-24.5,12.5,-24.5,9,0.5,4.5,-0.16147581353985427,-0.01109284594401965,-0.003438282534690604,-0.17600694201856454,-0.7920312390835405,19.40476535754674,9.70238267877337
12.676829268292682,-24.323170731707314,12.5,-24.5,12.853658536585366,-24.146341463414632,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.011012783093751711,-0.0035580833198714606,-0.17604667995347742,-0.7924456613006274,19.27479111541587,10.045698352707344
13.03048780487805,-23.96951219512195,12.853658536585366,-24.146341463414632,13.207317073170731,-23.79268292682927,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.010852657393215838,-0.0036573468275927427,-0.17598581776066285,-0.7921716999816983,18.987969223341807,10.322383675981033
13.384146341463413,-23.615853658536587,13.207317073170731,-23.79268292682927,13.560975609756097,-23.4390243902439,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.010692531692679965,-0.0037566103353140244,-0.17592495556784826,-0.7918977386627691,18.701341108786007,10.598875221736451
13.737804878048781,-23.26219512195122,13.560975609756097,-23.4390243902439,13.914634146341463,-23.085365853658537,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.010532405992144092,-0.0038558738430353066,-0.17586409337503367,-0.7916237773438399,18.41490677174847,10.875172989973606
14.091463414634145,-22.90853658536585,13.914634146341463,-23.085365853658537,14.268292682926829,-22.73170731707317,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.010372280291608218,-0.003955137350756587,-0.17580323118221908,-0.7913498160249107,18.128666212229202,11.15127698069249
14.445121951219512,-22.554878048780488,14.268292682926829,-22.73170731707317,14.621951219512194,-22.378048780487806,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.010212154591072345,-0.00405440085847787,-0.17574236898940448,-0.7910758547059815,17.842619430228204,11.427187193893111
14.798780487804878,-22.201219512195124,14.621951219512194,-22.378048780487806,14.975609756097562,-22.024390243902438,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.010052028890536472,-0.004153664366199151,-0.1756815067965899,-0.7908018933870522,17.556766425745472,11.702903629575461
15.152439024390244,-21.847560975609756,14.975609756097562,-22.024390243902438,15.329268292682928,-21.670731707317074,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009891903190000599,-0.0042529278739204335,-0.1756206446037753,-0.790527932068123,17.271107198781003,11.978426287739547
15.506097560975611,-21.49390243902439,15.329268292682928,-21.670731707317074,15.682926829268293,-21.317073170731707,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009731777489464723,-0.004352191381641716,-0.1755597824109607,-0.7902539707491938,16.985641749334803,12.253755168385366
15.859756097560975,-21.140243902439025,15.682926829268293,-21.317073170731707,16.036585365853657,-20.963414634146343,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009571651788928852,-0.004451454889362996,-0.17549892021814611,-0.7899800094302646,16.700370077406873,12.528890271512916
16.21341463414634,-20.78658536585366,16.036585365853657,-20.963414634146343,16.390243902439025,-20.609756097560975,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009411526088392979,-0.004550718397084278,-0.17543805802533155,-0.7897060481113355,16.415292182997213,12.8038315971222
16.567073170731707,-20.432926829268293,16.390243902439025,-20.609756097560975,16.74390243902439,-20.25609756097561,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009251400387857104,-0.00464998190480556,-0.17537719583251693,-0.7894320867924061,16.130408066105808,13.078579145213215
16.920731707317074,-20.079268292682926,16.74390243902439,-20.25609756097561,17.097560975609756,-19.902439024390244,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.00909127468732123,-0.004749245412526843,-0.17531633363970234,-0.7891581254734769,15.845717726732678,13.353132915785967
17.274390243902438,-19.725609756097562,17.097560975609756,-19.902439024390244,17.451219512195124,-19.548780487804876,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008931148986785358,-0.004848508920248123,-0.17525547144688775,-0.7888841641545477,15.561221164877816,13.627492908840447
17.628048780487806,-19.371951219512194,17.451219512195124,-19.548780487804876,17.804878048780488,-19.195121951219512,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008771023286249484,-0.004947772427969406,-0.17519460925407315,-0.7886102028356184,15.276918380541218,13.901659124376664
17.981707317073173,-19.018292682926827,17.804878048780488,-19.195121951219512,18.158536585365855,-18.841463414634145,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008610897585713609,-0.005047035935690688,-0.1751337470612586,-0.7883362415166894,14.992809373722888,14.175631562394617
18.335365853658537,-18.664634146341463,18.158536585365855,-18.841463414634145,18.51219512195122,-18.48780487804878,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008450771885177738,-0.0051462994434119695,-0.17507288486844397,-0.7880622801977599,14.708894144422823,14.449410222894294
18.6890243902439,-18.3109756097561,18.51219512195122,-18.48780487804878,18.865853658536587,-18.134146341463413,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008290646184641863,-0.00524556295113325,-0.17501202267562938,-0.7877883188788307,14.425172692641029,14.722995105875707
19.04268292682927,-17.95731707317073,18.865853658536587,-18.134146341463413,19.21951219512195,-17.78048780487805,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.00813052048410599,-0.005344826458854532,-0.17495116048281478,-0.7875143575599015,14.141645018377499,14.996386211338857
19.396341463414636,-17.603658536585364,19.21951219512195,-17.78048780487805,19.573170731707318,-17.426829268292682,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007970394783570115,-0.005444089966575815,-0.1748902982900002,-0.7872403962409723,13.858311121632237,15.269583539283738
19.75,-17.25,19.573170731707318,-17.426829268292682,19.926829268292682,-17.073170731707318,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007810269083034243,-0.005543353474297096,-0.17482943609718563,-0.7869664349220432,13.575171002405245,15.542587089710354
20.103658536585364,-16.896341463414636,19.926829268292682,-17.073170731707318,20.28048780487805,-16.71951219512195,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.00765014338249837,-0.005642616982018377,-0.174768573904371,-0.7866924736031139,13.292224660696517,15.815396862618696
20.45731707317073,-16.54268292682927,20.28048780487805,-16.71951219512195,20.634146341463413,-16.365853658536587,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007490017681962496,-0.005741880489739659,-0.17470771171155644,-0.7864185122841847,13.009472096506055,16.088012858008778
20.8109756097561,-16.1890243902439,20.634146341463413,-16.365853658536587,20.98780487804878,-16.01219512195122,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007329891981426622,-0.005841143997460942,-0.17464684951874182,-0.7861445509652554,12.72691330983386,16.36043507588059
21.164634146341463,-15.835365853658537,20.98780487804878,-16.01219512195122,21.34146341463415,-15.658536585365853,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007169766280890749,-0.005940407505182222,-0.17458598732592723,-0.7858705896463262,12.444548300679934,16.632663516234135
21.51829268292683,-15.48170731707317,21.34146341463415,-15.658536585365853,21.695121951219512,-15.304878048780488,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.0070096405803548745,-0.006039671012903505,-0.17452512513311266,-0.7855966283273971,12.162377069044275,16.904698179069417
21.871951219512194,-15.128048780487806,21.695121951219512,-15.304878048780488,22.048780487804876,-14.951219512195122,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.0068495148798190025,-0.006138934520624786,-0.17446426294029804,-0.7853226670084678,11.880399614926882,17.176539064386425
22.225609756097562,-14.774390243902438,22.048780487804876,-14.951219512195122,22.402439024390244,-14.597560975609756,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.006689389179283128,-0.006238198028346068,-0.17440340074748348,-0.7850487056895387,11.598615938327756,17.448186172185174
22.579268292682926,-14.420731707317072,22.402439024390244,-14.597560975609756,22.75609756097561,-14.243902439024389,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.006529263478747254,-0.006337461536067349,-0.17434253855466886,-0.7847747443706092,11.317026039246894,17.719639502465647
22.932926829268293,-14.067073170731707,22.75609756097561,-14.243902439024389,23.109756097560975,-13.890243902439025,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.006369137778211381,-0.0064367250437886315,-0.1742816763618543,-0.7845007830516801,11.035629917684306,17.99089905522786
23.286585365853657,-13.713414634146343,23.109756097560975,-13.890243902439025,23.46341463414634,-13.536585365853659,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.006209012077675508,-0.006535988551509913,-0.1742208141690397,-0.7842268217327509,10.754427573639981,18.261964830471804
23.640243902439025,-13.359756097560975,23.46341463414634,-13.536585365853659,23.81707317073171,-13.182926829268292,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.006048886377139634,-0.006635252059231195,-0.17415995197622508,-0.7839528604138216,10.473419007113922,18.53283682819748
23.993902439024392,-13.006097560975608,23.81707317073171,-13.182926829268292,24.170731707317074,-12.829268292682926,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.005888760676603761,-0.006734515566952478,-0.17409908978341052,-0.7836788990948925,10.192604218106132,18.803515048404893
24.347560975609756,-12.652439024390244,24.170731707317074,-12.829268292682926,24.524390243902438,-12.47560975609756,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.005728634976067888,-0.006833779074673758,-0.1740382275905959,-0.7834049377759631,9.911983206616606,19.07399949109403
24.70121951219512,-12.298780487804878,24.524390243902438,-12.47560975609756,24.878048780487802,-12.121951219512196,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.005568509275532014,-0.00693304258239504,-0.17397736539778133,-0.783130976457034,9.631555972645351,19.344290156264904
25.054878048780488,-11.945121951219512,24.878048780487802,-12.121951219512196,25.231707317073173,-11.768292682926829,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.005408383574996141,-0.007032306090116321,-0.17391650320496674,-0.7828570151381048,9.351322516192361,19.614387043917517
25.408536585365855,-11.591463414634145,25.231707317073173,-11.768292682926829,25.585365853658537,-11.414634146341463,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.0052482578744602664,-0.007131569597837604,-0.17385564101215215,-0.7825830538191756,9.071282837257638,19.884290154051858
